AlbumId,AlbumName,NumberOFTracks,ArtistName,Genre
1,For Those About To Rock We Salute You,10,AC/DC,Rock
2,Balls to the Wall,1,Accept,Rock
3,Restless and Wild,3,Accept,Rock
4,Let There Be Rock,8,AC/DC,Rock
5,Big Ones,15,Aerosmith,Rock
6,Jagged Little Pill,13,Alanis Morissette,Rock
7,Facelift,12,Alice In Chains,Rock
8,Warner 25 Anos,14,Antônio Carlos Jobim,Jazz
9,Plays Metallica By Four Cellos,8,Apocalyptica,Metal
10,Audioslave,14,Audioslave,Rock
11,Out Of Exile,12,Audioslave,Alternative & Punk
12,BackBeat Soundtrack,12,BackBeat,Rock And Roll
13,The Best Of Billy Cobham,8,Billy Cobham,Jazz
14,Alcohol Fueled Brewtality Live! [Disc 1],13,Black Label Society,Metal
15,Alcohol Fueled Brewtality Live! [Disc 2],5,Black Label Society,Metal
16,Black Sabbath,7,Black Sabbath,Metal
17,Black Sabbath Vol. 4 (Remaster),10,Black Sabbath,Metal
18,Body Count,17,Body Count,Alternative & Punk
19,Chemical Wedding,11,Bruce Dickinson,Metal
20,The Best Of Buddy Guy - The Millenium Collection,11,Buddy Guy,Blues
21,Prenda Minha,18,Caetano Veloso,Latin
22,Sozinho Remix Ao Vivo,3,Caetano Veloso,Latin
23,Minha Historia,34,Chico Buarque,Latin
24,Afrociberdelia,23,Chico Science & Nação Zumbi,Latin
25,Da Lama Ao Caos,13,Chico Science & Nação Zumbi,Latin
26,Acústico MTV [Live],17,Cidade Negra,Reggae
27,Cidade Negra - Hits,14,Cidade Negra,Reggae
28,Na Pista,10,Cláudio Zoli,Latin
29,Axé Bahia 2001,14,Various Artists,Pop
30,BBC Sessions [Disc 1] [Live],14,Led Zeppelin,Rock
31,Bongo Fury,9,Frank Zappa & Captain Beefheart,Rock
32,Carnaval 2001,14,Various Artists,Soundtrack
33,Chill: Brazil (Disc 1),17,Marcos Valle,Latin
34,Chill: Brazil (Disc 2),17,Antônio Carlos Jobim,Latin
35,Garage Inc. (Disc 1),11,Metallica,Metal
36,Greatest Hits II,17,Queen,Rock
37,Greatest Kiss,20,Kiss,Rock
38,Heart of the Night,12,Spyro Gyra,Jazz
39,International Superhits,21,Green Day,Alternative & Punk
40,Into The Light,12,David Coverdale,Rock
41,Meus Momentos,14,Gonzaguinha,Latin
42,Minha História,14,Os Mutantes,Alternative & Punk
43,MK III The Final Concerts [Disc 1],7,Deep Purple,Rock
44,Physical Graffiti [Disc 1],6,Led Zeppelin,Rock
45,Sambas De Enredo 2001,14,Various Artists,Latin
46,Supernatural,13,Santana,Rock
47,The Best of Ed Motta,14,Ed Motta,Latin
48,The Essential Miles Davis [Disc 1],13,Miles Davis,Jazz
49,The Essential Miles Davis [Disc 2],10,Miles Davis,Jazz
50,The Final Concerts (Disc 2),4,Deep Purple,Rock
51,Up An' Atom,22,Gene Krupa,Jazz
52,Vinícius De Moraes - Sem Limite,15,Toquinho & Vinícius,Bossa Nova
53,Vozes do MPB,14,Various Artists,Latin
