Song,Album,MediaType,Genre,minutes,Price
For Those About To Rock (We Salute You),For Those About To Rock We Salute You,MPEG audio file,Rock,5.73,0.99
Balls to the Wall,Balls to the Wall,Protected AAC audio file,Rock,5.71,0.99
Fast As a Shark,Restless and Wild,Protected AAC audio file,Rock,3.84,0.99
Restless and Wild,Restless and Wild,Protected AAC audio file,Rock,4.2,0.99
Princess of the Dawn,Restless and Wild,Protected AAC audio file,Rock,6.26,0.99
Put The Finger On You,For Those About To Rock We Salute You,MPEG audio file,Rock,3.43,0.99
Let's Get It Up,For Those About To Rock We Salute You,MPEG audio file,Rock,3.9,0.99
Inject The Venom,For Those About To Rock We Salute You,MPEG audio file,Rock,3.51,0.99
Snowballed,For Those About To Rock We Salute You,MPEG audio file,Rock,3.39,0.99
Evil Walks,For Those About To Rock We Salute You,MPEG audio file,Rock,4.39,0.99
C.O.D.,For Those About To Rock We Salute You,MPEG audio file,Rock,3.33,0.99
Breaking The Rules,For Those About To Rock We Salute You,MPEG audio file,Rock,4.39,0.99
Night Of The Long Knives,For Those About To Rock We Salute You,MPEG audio file,Rock,3.43,0.99
Spellbound,For Those About To Rock We Salute You,MPEG audio file,Rock,4.51,0.99
Go Down,Let There Be Rock,MPEG audio file,Rock,5.52,0.99
Dog Eat Dog,Let There Be Rock,MPEG audio file,Rock,3.59,0.99
Let There Be Rock,Let There Be Rock,MPEG audio file,Rock,6.11,0.99
Bad Boy Boogie,Let There Be Rock,MPEG audio file,Rock,4.46,0.99
Problem Child,Let There Be Rock,MPEG audio file,Rock,5.42,0.99
Overdose,Let There Be Rock,MPEG audio file,Rock,6.16,0.99
Hell Ain't A Bad Place To Be,Let There Be Rock,MPEG audio file,Rock,4.24,0.99
Whole Lotta Rosie,Let There Be Rock,MPEG audio file,Rock,5.4,0.99
Walk On Water,Big Ones,MPEG audio file,Rock,4.93,0.99
Love In An Elevator,Big Ones,MPEG audio file,Rock,5.36,0.99
Rag Doll,Big Ones,MPEG audio file,Rock,4.41,0.99
What It Takes,Big Ones,MPEG audio file,Rock,5.18,0.99
Dude (Looks Like A Lady),Big Ones,MPEG audio file,Rock,4.41,0.99
Janie's Got A Gun,Big Ones,MPEG audio file,Rock,5.51,0.99
Cryin',Big Ones,MPEG audio file,Rock,5.15,0.99
Amazing,Big Ones,MPEG audio file,Rock,5.94,0.99
Blind Man,Big Ones,MPEG audio file,Rock,4.01,0.99
Deuces Are Wild,Big Ones,MPEG audio file,Rock,3.6,0.99
The Other Side,Big Ones,MPEG audio file,Rock,4.07,0.99
Crazy,Big Ones,MPEG audio file,Rock,5.28,0.99
Eat The Rich,Big Ones,MPEG audio file,Rock,4.18,0.99
Angel,Big Ones,MPEG audio file,Rock,5.13,0.99
Livin' On The Edge,Big Ones,MPEG audio file,Rock,6.35,0.99
All I Really Want,Jagged Little Pill,MPEG audio file,Rock,4.75,0.99
You Oughta Know,Jagged Little Pill,MPEG audio file,Rock,4.15,0.99
Perfect,Jagged Little Pill,MPEG audio file,Rock,3.14,0.99
Hand In My Pocket,Jagged Little Pill,MPEG audio file,Rock,3.69,0.99
Right Through You,Jagged Little Pill,MPEG audio file,Rock,2.94,0.99
Forgiven,Jagged Little Pill,MPEG audio file,Rock,5.01,0.99
You Learn,Jagged Little Pill,MPEG audio file,Rock,3.99,0.99
Head Over Feet,Jagged Little Pill,MPEG audio file,Rock,4.46,0.99
Mary Jane,Jagged Little Pill,MPEG audio file,Rock,4.68,0.99
Ironic,Jagged Little Pill,MPEG audio file,Rock,3.83,0.99
Not The Doctor,Jagged Little Pill,MPEG audio file,Rock,3.79,0.99
Wake Up,Jagged Little Pill,MPEG audio file,Rock,4.89,0.99
You Oughta Know (Alternate),Jagged Little Pill,MPEG audio file,Rock,8.2,0.99
We Die Young,Facelift,MPEG audio file,Rock,2.53,0.99
Man In The Box,Facelift,MPEG audio file,Rock,4.78,0.99
Sea Of Sorrow,Facelift,MPEG audio file,Rock,5.83,0.99
Bleed The Freak,Facelift,MPEG audio file,Rock,4.03,0.99
I Can't Remember,Facelift,MPEG audio file,Rock,3.72,0.99
"Love, Hate, Love",Facelift,MPEG audio file,Rock,6.45,0.99
It Ain't Like That,Facelift,MPEG audio file,Rock,4.63,0.99
Sunshine,Facelift,MPEG audio file,Rock,4.75,0.99
Put You Down,Facelift,MPEG audio file,Rock,3.27,0.99
Confusion,Facelift,MPEG audio file,Rock,5.74,0.99
I Know Somethin (Bout You),Facelift,MPEG audio file,Rock,4.37,0.99
Real Thing,Facelift,MPEG audio file,Rock,4.06,0.99
Desafinado,Warner 25 Anos,MPEG audio file,Jazz,3.09,0.99
Garota De Ipanema,Warner 25 Anos,MPEG audio file,Jazz,4.75,0.99
Samba De Uma Nota Só (One Note Samba),Warner 25 Anos,MPEG audio file,Jazz,2.29,0.99
Por Causa De Você,Warner 25 Anos,MPEG audio file,Jazz,2.83,0.99
Ligia,Warner 25 Anos,MPEG audio file,Jazz,4.2,0.99
Fotografia,Warner 25 Anos,MPEG audio file,Jazz,2.15,0.99
Dindi (Dindi),Warner 25 Anos,MPEG audio file,Jazz,4.22,0.99
Se Todos Fossem Iguais A Você (Instrumental),Warner 25 Anos,MPEG audio file,Jazz,2.25,0.99
Falando De Amor,Warner 25 Anos,MPEG audio file,Jazz,3.66,0.99
Angela,Warner 25 Anos,MPEG audio file,Jazz,2.83,0.99
Corcovado (Quiet Nights Of Quiet Stars),Warner 25 Anos,MPEG audio file,Jazz,3.43,0.99
Outra Vez,Warner 25 Anos,MPEG audio file,Jazz,2.11,0.99
O Boto (Bôto),Warner 25 Anos,MPEG audio file,Jazz,6.11,0.99
"Canta, Canta Mais",Warner 25 Anos,MPEG audio file,Jazz,4.53,0.99
Enter Sandman,Plays Metallica By Four Cellos,MPEG audio file,Metal,3.7,0.99
Master Of Puppets,Plays Metallica By Four Cellos,MPEG audio file,Metal,7.27,0.99
Harvester Of Sorrow,Plays Metallica By Four Cellos,MPEG audio file,Metal,6.24,0.99
The Unforgiven,Plays Metallica By Four Cellos,MPEG audio file,Metal,5.38,0.99
Sad But True,Plays Metallica By Four Cellos,MPEG audio file,Metal,4.8,0.99
Creeping Death,Plays Metallica By Four Cellos,MPEG audio file,Metal,5.13,0.99
Wherever I May Roam,Plays Metallica By Four Cellos,MPEG audio file,Metal,6.16,0.99
Welcome Home (Sanitarium),Plays Metallica By Four Cellos,MPEG audio file,Metal,5.84,0.99
Cochise,Audioslave,MPEG audio file,Rock,3.71,0.99
Show Me How to Live,Audioslave,MPEG audio file,Rock,4.63,0.99
Gasoline,Audioslave,MPEG audio file,Rock,4.66,0.99
What You Are,Audioslave,MPEG audio file,Rock,4.16,0.99
Like a Stone,Audioslave,MPEG audio file,Rock,4.9,0.99
Set It Off,Audioslave,MPEG audio file,Rock,4.39,0.99
Shadow on the Sun,Audioslave,MPEG audio file,Rock,5.72,0.99
I am the Highway,Audioslave,MPEG audio file,Rock,5.58,0.99
Exploder,Audioslave,MPEG audio file,Rock,3.43,0.99
Hypnotize,Audioslave,MPEG audio file,Rock,3.44,0.99
Bring'em Back Alive,Audioslave,MPEG audio file,Rock,5.49,0.99
Light My Way,Audioslave,MPEG audio file,Rock,5.06,0.99
Getaway Car,Audioslave,MPEG audio file,Rock,4.99,0.99
The Last Remaining Light,Audioslave,MPEG audio file,Rock,5.29,0.99
Your Time Has Come,Out Of Exile,MPEG audio file,Alternative & Punk,4.26,0.99
