trackname,album_title,artist,total_purchases,total_cost
The Trooper,Live At Donington 1992 (Disc 2),Iron Maiden,5,4.95
Untitled,Live On Two Legs [Live],Pearl Jam,4,3.96
The Number Of The Beast,Live After Death,Iron Maiden,4,3.96
Sure Know Something,Greatest Kiss,Kiss,4,3.96
Hallowed Be Thy Name,The Number of The Beast,Iron Maiden,4,3.96
Eruption,"The Best Of Van Halen, Vol. I",Van Halen,4,3.96
Where Eagles Dare,Piece Of Mind,Iron Maiden,3,2.9699999999999998
Welcome Home (Sanitarium),Plays Metallica By Four Cellos,Apocalyptica,3,2.9699999999999998
Sweetest Thing,The Best Of 1980-1990,U2,3,2.9699999999999998
Surrender,War,U2,3,2.9699999999999998
Stairway To Heaven,IV,Led Zeppelin,3,2.9699999999999998
Selvagem,Acústico MTV,Os Paralamas Do Sucesso,3,2.9699999999999998
Sanctuary,Rock In Rio [CD2],Iron Maiden,3,2.9699999999999998
Release,Tangents,The Tea Party,3,2.9699999999999998
Plaster Caster,Unplugged [Live],Kiss,3,2.9699999999999998
Linha Do Equador,Na Pista,Cláudio Zoli,3,2.9699999999999998
Iron Maiden,The Beast Live,Paul D'Ianno,3,2.9699999999999998
Heaven Can Wait,A Real Live One,Iron Maiden,3,2.9699999999999998
Good Golly Miss Molly,"Chronicle, Vol. 2",Creedence Clearwater Revival,3,2.9699999999999998
Flying High Again,Diary of a Madman (Remastered),Ozzy Osbourne,3,2.9699999999999998
Dazed and Confused,BBC Sessions [Disc 1] [Live],Led Zeppelin,3,2.9699999999999998
Can I Play With Madness,A Real Live One,Iron Maiden,3,2.9699999999999998
Brasil,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller,3,2.9699999999999998
Blood Brothers,Brave New World,Iron Maiden,3,2.9699999999999998
2 Minutes To Midnight,A Real Dead One,Iron Maiden,3,2.9699999999999998
Álibi,Djavan Ao Vivo - Vol. 02,Djavan,2,1.98
Your Time Is Gonna Come,Led Zeppelin I,Led Zeppelin,2,1.98
You've Got Another Thing Comin',Living After Midnight,Judas Priest,2,1.98
You're My Best Friend,Greatest Hits I,Queen,2,1.98
You Got Me Rocking,Voodoo Lounge,The Rolling Stones,2,1.98
You Better You Bet,My Generation - The Very Best Of The Who,The Who,2,1.98
Year to the Day,Van Halen III,Van Halen,2,1.98
Wrathchild,Rock In Rio [CD1],Iron Maiden,2,1.98
Woman Is The Nigger Of The World (Ao Vivo),Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller,2,1.98
Whiskey In The Jar,Garage Inc. (Disc 1),Metallica,2,1.98
When My Left Eye Jumps,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy,2,1.98
When Love Comes To Town,The Best Of 1980-1990,U2,2,1.98
When I Look At The World,All That You Can't Leave Behind,U2,2,1.98
When I Come Around,International Superhits,Green Day,2,1.98
Whatsername,American Idiot,Green Day,2,1.98
"Whatever It Is, I Just Can't Stop",Emergency On Planet Earth,Jamiroquai,2,1.98
What A Day,King For A Day Fool For A Lifetime,Faith No More,2,1.98
We Are The Champions,News Of The World,Queen,2,1.98
War Pigs,Speak of the Devil,Ozzy Osbourne,2,1.98
Walter's Walk,Coda,Led Zeppelin,2,1.98
Walking Into Clarksdale,Walking Into Clarksdale,Page & Plant,2,1.98
Walkabout,"Lost, Season 1",Lost,2,3.98
Waiting,Judas 0: B-Sides and Rarities,Smashing Pumpkins,2,1.98
Voodoo,Body Count,Body Count,2,1.98
Violent Pornography,Mezmerize,System Of A Down,2,1.98
Undertow,New Adventures In Hi-Fi,R.E.M.,2,1.98
Under The Bridge,Blood Sugar Sex Magik,Red Hot Chili Peppers,2,1.98
Um Amor Puro,Djavan Ao Vivo - Vol. 1,Djavan,2,1.98
Two Hearts Beat As One,War,U2,2,1.98
Turbo Lover,Living After Midnight,Judas Priest,2,1.98
Travis Walk,In Step,Stevie Ray Vaughan & Double Trouble,2,1.98
Train In Vain,The Singles,The Clash,2,1.98
Toda Cor,Volume Dois,Titãs,2,1.98
